capacity_days,lead_h,model_orders,base_orders,base_ROP_%cap,model_lost_%,base_lost_%,model_stockout_h,base_stockout_h,lost_units_reduction_%
0.6,2,1041,1047,67,1.2919513646287155,1.0929828122332996,52,53,-18.204179440741797
0.6,3,865,863,63,4.2900501324002,4.079952643917977,186,210,-5.149508016849569
0.6,4,780,776,56,7.629414444503861,9.883196891404141,399,431,22.804184432068688
0.75,2,741,732,60,0.06306195335216806,0.23412332594296464,5,16,73.06464313276895
0.75,3,663,660,56,0.9597955283392196,1.671193584769743,50,57,42.568261565493025
0.75,4,603,591,53,2.9257459165330704,3.4971212781446153,107,161,16.338448574328147
0.9,2,477,483,50,0.0,0.06510773389425908,0,5,100.0
0.9,3,459,464,49,0.02864698100849782,0.4543730404921466,3,25,93.6952727262451
0.9,4,419,430,48,0.8302482754863392,3.164837081852039,36,141,73.76647663011822
